,Area,Area Id,Variable Name,Variable Id,Year,Value
356,Dominica,55.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2010.0,10.0
361,Dominican Republic,56.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2000.0,20.7
362,Dominican Republic,56.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2005.0,23.2
363,Dominican Republic,56.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2010.0,30.37
367,Ecuador,58.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2000.0,2.117
368,Ecuador,58.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2005.0,2.241
371,Egypt,59.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,1975.0,83.83
372,Egypt,59.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,1995.0,102.0
373,Egypt,59.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2000.0,99.18
374,Egypt,59.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2012.0,118.4
375,Egypt,59.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2017.0,112.0
381,El Salvador,60.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,1992.0,2.775
382,El Salvador,60.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2000.0,5.2379999999999995
383,El Salvador,60.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2005.0,8.062000000000001
387,Equatorial Guinea,61.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,1987.0,0.0385
388,Equatorial Guinea,61.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2000.0,0.0669
391,Eritrea,178.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2000.0,5.651
392,Eritrea,178.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2004.0,7.956
395,Estonia,63.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,1992.0,20.53
396,Estonia,63.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,1995.0,10.6
397,Estonia,63.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2002.0,11.03
398,Estonia,63.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2007.0,14.32
399,Estonia,63.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2012.0,12.73
400,Estonia,63.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2017.0,13.93
407,Eswatini,209.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,1980.0,14.52
408,Eswatini,209.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2000.0,23.1
411,Ethiopia,238.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2002.0,4.556
412,Ethiopia,238.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2005.0,6.443
413,Ethiopia,238.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2016.0,8.648
417,Fiji,66.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,1987.0,0.1051
418,Fiji,66.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2000.0,0.2862
419,Fiji,66.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2005.0,0.2974
